text,tag,split
118 Nr 20,note,val
Fredagen den 25 maj 1956 fm.,note,train
Anslag till främjande av bostadsförsörjningen m. m.,note,train
"yrkandena propositioner, först på bifall till utskottets hemställan samt vidare på antagande av det förslag, som innefattades i den av herr Ragnar Bergh m. fl. beträffande nämnda punkt avgivna reservationen; och förklarades den förra propositionen, vilken förnyades, vara med övervägande ja besvarad.",note,train
Slutligen bifölls på särskilda propositioner vad utskottet i punkterna XXXXVIII och XXXXIX hemställt.,note,val
På framställning av herr talmannen beslöts att handläggningen av återstående ärenden på föredragningslistan skulle uppskjutas till aftonsammanträdet.,note,train
Anmäldes och godkändes andra lagutskottets förslag till riksdagens skrivelser till Konungen:,note,test
"nr 295, i anledning av Kungl. Maj:ts proposition med förslag till allmän prisregleringslag, m. m.; och",note,val
"nr 296, i anledning av Kungl. Maj:ts proposition med förslag till lag angående ändring i lagen den 25 september 1953 (nr 603) om motverkande i vissa fall av konkurrensbegränsning inom näringslivet, m. m.",note,train
"Anmäldes och godkändes sammansatta statsoch andra lagutskottets förslag till riksdagens skrivelse, nr 297, till Konungen i anledning av Kungl. Maj:ts i statsverkspropositionen under femte huvudtiteln gjorda framställning om anslag för budgetåret 1956/57 till Bidrag till erkända arbetslöshetskassor.",note,train
"Anmäldes och godkändes allmänna beredningsutskottets förslag till riksdagens skrivelse, nr 298, till Konungen om utredningar beträffande vissa aktuella ungdomsoch uppfostringsfrågor samt om åtgärder för motverkande av ungdomsbrottsligheten m. m.",note,train
Anmäldes och bordlades,note,val
"konstitutionsutskottets utlåtande nr 16, i anledning av Kungl. Maj:ts pro-",note,train
position med förslag till ändrad lydelse av 6 8 riksdagsordningen jämte i ämnet väckt motion;,note,train
statsutskottets utlåtanden:,note,train
"nr 155, i anledning av Kungl. Maj:ts proposition angående fortsatt samarbete mellan staten och Trafikaktiebolaget Grängesberg—Oxelösund i Luossavaara— Kiirunavaara aktiebolag jämte i ämnet väckta motioner; samt",note,val
"nr 156, i anledning av Kungl. Maj:ts framställningar angående vissa avsättningar till budgetutjämningsfonden jämte i ämnet väckta motioner;",note,train
bevillningsutskottets betänkanden:,note,train
"nr 45, i anledning av Kungl. Maj:ts proposition med förslag till vissa ändringar i gällande tulltaxa, m. m.;",note,train
"nr 48, i anledning av Kungl. Maj:ts proposition med förslag till förordning om ändring i förordningen den 19 november 1914 (nr 383) angående stämpelavgiften; samt",note,train
"nr 50, angående beräkning av bevillningarna för budgetåret 1956/57, m. m., jämte i ämnet väckta motioner;",note,val
bankoutskottets utlåtanden och memorial:,note,test
"nr 30, i anledning av dels Kungl. Maj:ts proposition med förslag till lag med särskilda bestämmelser rörande riksbankens sedelutgivning, m. m., jämte i ämnet väckta motioner, dels ock väckta motioner angående åtgärder för en skyndsam räntesänkning;",note,val
"nr 32, angående uppskov med behandlingen av vissa till bankoutskottet hänvisade motioner;",note,val
